,Country Name,Year,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","Inflation, consumer prices (annual %)",Gini index,GDP (current US$),"Cause of death, by injury (% of total)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","Population, total","Unemployment, total (% of total labor force) (modeled ILO estimate)","Hospital beds (per 1,000 people)","Life expectancy at birth, total (years)","Physicians (per 1,000 people)",GDP per capita
141,Australia,2014,91.8276672363281,1.13743996620178,2.48792270531403,34.4,1467589901175.46,5.85702495846548,6.36214017868042,39.5234184265137,23475686.0,6.08,3.79,82.3,3.4314,62515.31483150098
142,Belgium,2014,82.3405303955078,0.49465999007225,0.340002833356965,28.1,535390200131.009,6.20055951618006,13.4917602539063,31.5528507232666,11209057.0,8.52,5.85,81.2878048780488,2.9723,47764.071512082504
143,Bolivia,2014,51.923828125,0.251570001244545,5.7666007457914,47.8,32996188017.3661,8.87878422709081,1.4216749668121351,25.3266096115112,10916987.0,2.02,1.15,67.163,1.0290333333333332,3022.462884435614
144,Brazil,2014,56.3307189941406,0.21085000038147,6.32904015516142,52.0,2456043766063.5,12.4539423731105,0.78574001789093,13.1573696136475,203459650.0,6.76,2.22,74.306,1.9654333333333336,12071.404654748498
145,Switzerland,2014,97.0206527709961,2.97441005706787,-0.0132025387515987,32.5,726537808338.0,5.69679930275473,18.1987590789795,35.6050109863281,8188649.0,4.83,4.73,83.1975609756098,4.1171,88724.99094026377
146,Cyprus,2014,78.9592819213867,0.616890013217926,-1.35498885446312,35.6,23225912183.4988,4.81592639526197,9.50104999542236,35.2161903381348,1176995.0,16.09,3.42,80.771,2.4993,19733.22926902731
147,Czechia,2014,99.8154830932617,0.504239976406097,0.343988589646784,25.9,209358834156.329,4.98468926732941,14.7503499984741,18.9672508239746,10525347.0,6.11,6.68,78.8243902439024,3.9345,19890.919905664778
149,Dominican Republic,2014,56.3503684997559,0.0,2.99864226125217,44.3,67179956264.9383,11.8261360981609,1.19762003421783,11.7863502502441,10282115.0,6.72,1.79,72.867,1.5268,6533.6709679806445
150,Spain,2014,73.7143478393555,0.687120020389557,-0.151114837527181,36.1,1371820537888.6,3.4163321994382,12.5373201370239,28.9789295196533,46480882.0,24.44,2.97,83.2292682926829,3.7767,29513.651180040004
151,France,2014,82.6331634521484,0.712890028953552,0.507758822937957,32.3,2855964488590.14,6.59523492090918,8.35151958465576,28.5274600982666,66312067.0,10.29,6.2,82.719512195122,3.1941,43068.54872417323
152,United Kingdom,2014,99.8598480224609,0.88425999879837,1.45112016293279,33.1,3065223279583.79,3.44305898990108,8.78437042236328,38.9803009033203,64602298.0,6.11,2.73,81.3048780487805,2.7149,47447.58893226662
154,Greece,2014,67.5204162597656,0.540329992771149,-1.31226096405516,35.8,235458133124.604,3.30112596768081,2.40397000312805,23.0271892547607,10892413.0,26.49,4.24,81.3853658536585,5.9717,21616.71000949046
155,Guatemala,2014,24.8188199996948,0.0415299981832504,3.41836169662962,48.3,57852150564.52,15.2702954374445,0.363940000534058,8.53061008453369,15306316.0,2.72,0.62,71.964,0.28,3779.6260422507935
156,Hungary,2014,96.6406173706055,0.659240007400513,-0.227566270988384,30.9,141033843265.669,4.54410005508674,8.47980976104736,20.8776302337646,9866468.0,7.73,6.98,75.7634146341463,3.3443,14294.258418075142
